provincia;poblacion 2022
Buenos Aires;17,569053
Capital Federal;3,120612
Catamarca;0,429556
Chaco;1,142963
Chubut;0,60312
Córdoba;3,978984
Corrientes;1,197553
Entre Ríos;1,426426
Formosa;0,606041
Jujuy;0,797955
La Pampa;0,366022
La Rioja;0,384607
Mendoza;2,014533
Misiones;1,28096
Neuquén;0,72659
Río Negro;0,762067
Salta;1,440672
San Juan;0,818234
San Luis;0,540905
Santa Cruz;0,333473
Santa Fe;3,556522
Santiago Del Estero;1,054028
Tierra Del Fuego;0,190641
Tucumán;1,703186
